"timestamp_utc","local_time","download_mbps","upload_mbps","latency_ms","download_bytes","upload_bytes","status","error","source"
"2026-06-28T15:38:34.1083686Z","2026-06-29 00:38:34","87.37","23.14","19.2","25000000","5000000","ok","","cloudflare-speed"
"2026-06-28T17:40:25.9214952Z","2026-06-29 02:40:25","","","","25000000","5000000","failed","latency: Access denied  | download: Exception calling ""GetResult"" with ""0"" argument(s): ""この要求の送信中にエラーが発生しました。"" | upload: Exception calling ""GetResult"" with ""0"" argument(s): ""この要求の送信中にエラーが発生しました。""","cloudflare-speed"
"2026-06-28T17:40:53.3392447Z","2026-06-29 02:40:53","29.28","10.35","23.8","25000000","5000000","ok","","cloudflare-speed"
"2026-06-28T19:40:51.9239341Z","2026-06-29 04:40:51","","","","25000000","5000000","failed","latency: Access denied  | download: Exception calling ""GetResult"" with ""0"" argument(s): ""この要求の送信中にエラーが発生しました。"" | upload: Exception calling ""GetResult"" with ""0"" argument(s): ""この要求の送信中にエラーが発生しました。""","cloudflare-speed"
"2026-06-28T19:41:14.6113088Z","2026-06-29 04:41:14","102.08","13.57","43.5","25000000","5000000","ok","","cloudflare-speed"
"2026-06-28T21:41:34.8286377Z","2026-06-29 06:41:34","104.93","29.14","20.8","25000000","5000000","ok","","cloudflare-speed"
"2026-06-28T23:41:53.4228895Z","2026-06-29 08:41:53","84.99","13.72","19.2","25000000","5000000","ok","","cloudflare-speed"
"2026-06-29T01:42:21.9700138Z","2026-06-29 10:42:21","","","","25000000","5000000","failed","latency: Access denied  | download: Exception calling ""GetResult"" with ""0"" argument(s): ""この要求の送信中にエラーが発生しました。"" | upload: Exception calling ""GetResult"" with ""0"" argument(s): ""この要求の送信中にエラーが発生しました。""","cloudflare-speed"
"2026-06-29T01:42:53.1667287Z","2026-06-29 10:42:53","93","27.88","20","25000000","5000000","ok","","cloudflare-speed"
"2026-06-29T03:43:19.8454633Z","2026-06-29 12:43:19","110.2","10.42","18.8","25000000","5000000","ok","","cloudflare-speed"
"2026-06-29T05:43:28.1673885Z","2026-06-29 14:43:28","103.88","13.48","22.2","25000000","5000000","ok","","cloudflare-speed"
